id,兩難,主題
1,你承諾了好朋友參加他的生日派對，但同時也有一個重要的考試需要準備。你擔心不好好準備好考試可能影響你的成績，但如果你不去派對，好朋友可能會感到失望。你會選擇怎麼做？,承諾、責任、友誼、學業。
2,你和朋友約好週末一起去參加一個社團活動，不過你也答應了家人會在這個週末幫忙清理家裡的倉庫，因為他們希望能在下個月舉辦家庭聚會。如果你選擇去參加活動，可能會讓家人失望，但如果選擇幫家人，則會違背對朋友的承諾。你會怎麼做？,承諾、責任、友情、家庭義務。
3,小麗前日答應了好朋友一起參加一個重要的社團活動，但她發現學校安排了一場關鍵的考試準備會，這對她的學業成績至關重要。如果小麗選擇參加社團活動，她的成績會大受影響；如果她選擇參加考試準備會，她的好朋友會感到被背叛。如果你是小麗，你會怎麼做？,承諾、責任、時間管理、友誼。
4,你約好朋友一起參加一個重要的社團活動，但在同一天，你的學校安排了一個重要的考試預備班，這個考試對你的學業成績影響很大。如果你不去考試預備班，你可能會影響到你的學期成績；但如果你不去活動，你的朋友會感到失望，甚至可能對你產生不滿。你會怎麼做？,承諾、責任、友情、學業。
5,你向學生會承諾在週末會協助舉辦跨校文化交流活動，讓不同學校學生互相認識。然而，到了週末，你的老師突然安排了在星期一考試，這是一次會影響你成績的考試。如果你去學校協助舉辦活動，可能會影響你的考試準備；如果你選擇留在家裡準備考試，則會失信於學生會，可能讓交流活動未能順利進行。你會怎麼做？,承諾、責任、時間管理、學業與社會責任。
6,你約定好要在活動後協助同學做問卷調查，但在活動前一天，你的老師告訴你，你的學期報告要在下星期提交，而你需要時間完成。你知道同學需要你的協助，但同時你也清楚學業成績對於升學的重要性。如果你選擇不幫助做問卷調查，你的同學可能會因為你違背約定而失去信任，但如果你不趕快完成報告，你的成績會大受影響。你會怎麼做？,承諾、學業、友誼、責任、時間管理。
7,你答應了你的同學參加他的生日派對，但這個周末你也有一個重要的考試需要準備。你擔心如果不參加派對，可能會傷害到你與同學之間的友情，但如果不專心準備考試，可能會影響你的學業成績。你會怎麼做？,承諾、友情、學業、時間管理。
8,小美答應了朋友會在星期日一起參加一個重要的音樂會，但現在她發現自己有一個即將到來的考試需要準備，而她已經有一段時間沒有好好複習了。如果小美不參加音樂會，她的朋友會感到失望，但如果她不準備考試，她可能會影響自己的學業成績。如果你是小美，你會怎麼做？,承諾、責任、學業、友誼。
9,你答應了好友去他家慶祝他的生日，但是你有一個重要的學業報告需要在當日完成，這個報告對你的期末成績非常關鍵。如果你去慶祝生日，可能會影響報告的質量，但如果你不去，好友會非常失望。你會怎麼做？,承諾、學業、友誼、責任、時間管理。
10,你答應了朋友參加他的生日派對，但是你的老師安排了一個重要的考試，這次考試對你的學業成績至關重要。如果你不準備考試，可能會影響你的整體成績，而如果你不去派對，可能會讓朋友失望，甚至影響你們的友誼。你會怎麼做？,承諾、學業責任、友誼、時間管理。
11,你約定好會在鄰近公園協助舉辦文化活動，促進社區交流並且增進友誼。然而，前一天晚上你收到一個通知，學校將在同一天舉辦你期待已久的考試準備講座，這對你的學業非常重要。如果你參加講座，將無法履行對舉辦團體的承諾；如果你去協助，將可能影響你的考試準備。你會怎麼做？,承諾、學業、責任、友誼。
12,你約好朋友一起參加星期日的義工服務，不過有一個重要的學校報告必須在星期一提交。如果你不參加義工服務，朋友會感到失望，但如果你不完成報告，可能會影響你的學業成績。你會選擇怎麼做？,承諾、學業、友誼、責任感。
13,你答應了班上的同學一起參加即將舉行的義賣活動，因為你想為社區貢獻一份力量，但同時你也面臨著一個重要的考試前夕，必須在家裡準備大量的複習材料。你知道如果不參加義賣活動，會讓同學失望，但如果不專注於學業，可能會影響你的考試成績。你會怎麼做？,承諾、責任、時間管理、學業與社交平衡。
14,你的班級計劃在週末舉辦一次義賣活動，而你已經答應了你的朋友參加他的生日派對。義賣活動是為了籌集資金支持一個慈善機構，但你的朋友已經期待了這個派對很久，並且特別邀請了你作為重要的嘉賓。你必須選擇參加哪一個活動，因為時間上無法兼顧。你會怎麼做？,承諾、責任、友情、道德抉擇。
15,你和朋友約定在週末一起參加一個義工活動，這是你們每個人都很期待的。然而前一天晚上，你的老師突然告訴你，必須在週末之前提交一份重要的報告，否則會影響你的學期成績。你知道這份報告對你的學業非常重要，但你也不想失信於朋友，因為這次義工活動是大家共同期待的經歷。你會怎麼做？,承諾、責任、學業、友誼。
16,你和朋友約定一起參加學校的志願活動，但就在活動前一天，你的老師通知你必須在當日提交一份重要的學期報告，這份報告對你的學業成績影響甚大。如果你選擇參加志願活動，你擔心報告會因為時間不夠而無法完成；但如果你選擇專注於報告，你又會讓朋友失望，因為他們非常期待有你的參與。你會怎麼做？,承諾、學業、友誼、責任感。
17,小明答應了他的好朋友小華，會在周末一起去參加一個音樂會，因為小華一直很期待這場演出。然而前一天晚上，小明突然接到了一個通知，他的學校即將舉辦一場重要的考試複習班，複習班的內容將直接幫助他的期末成績。小明感到非常矛盾，他既希望能遵守對小華的承諾，又不想因此影響自己的學業。你會怎麼做？,承諾、學業、友情、責任。
18,小文在學校的科學展覽中承諾要和他的同學小華一起合作完成專題報告。然而，當小文的偶像宣布要在同一天舉行一場特別的簽名會時，他面臨著兩難的選擇。小文非常想要去見他的偶像，但這樣他就無法按時完成專題報告。小文知道如果不參加簽名會，可能會失去與偶像互動的機會，但如果不履行對小華的承諾，則會影響他們的友誼和小華的努力。你會怎麼做？,承諾、友誼、責任、選擇。
19,小華在學校的籃球隊中表現出色，已經承諾了隊友要參加即將舉行的決賽。然而，他的父母在當日安排了一個家庭聚會，並希望他能參加。小華非常想支持他的隊友，但也不想讓父母失望。此時，他面臨著是否違背對隊友的承諾，或者是遵從家庭的期望的兩難選擇。你會怎麼做？,承諾、家庭、友情、責任、選擇。
20,小華在校內參加了一個志願者活動，並向組織者承諾會在活動當天負責清理場地。然而，活動前一天，小華的好友邀請他參加一場他們一直期待的音樂會，這場音樂會的時間恰好和志願者活動重疊。小華面臨著選擇：是遵守對志願者活動的承諾，還是放棄這個承諾去參加音樂會，體驗難得的友情和娛樂。你會怎麼做？,承諾、友情、責任、選擇。
21,小王答應了他的好朋友參加一個周末的戶外露營活動，但前一天他接到了重要的學校小組報告的通知，報告的截止日期正好在露營的那天。小王非常想和好朋友一起享受戶外活動，但同時也知道這個報告對他的學期成績影響重大。如果你是小王，你會怎麼做？,承諾、責任、友情、學業、時間管理。
22,小文在學校參加了一個社團活動，承諾要在週末的清理活動中擔任組長，負責帶領小組完成環境清潔。然而，正當小文準備迎接這個挑戰時，他的偶像團體宣佈將在同一天舉辦一場粉絲見面會，這是他一直夢寐以求的機會。小文非常矛盾，既想履行對社團的承諾，又不想錯過與偶像見面的機會。如果你是小文，你會怎麼做？,承諾、責任、夢想、選擇。
23,小明一直承諾要參加班上的志工服務，協助場地佈置準備學校活動。然而，前一天他的偶像突然宣布了一場簽名會，時間恰好和志工服務重疊。小明非常想去見偶像，但如果放棄志工服務，可能會讓同學失望，甚至影響班級的整體表現。到底是遵守對同學的承諾，還是追尋自己的夢想？,承諾、責任、個人夢想、社交壓力。
24,小明和他的同學們約好一起參加學校的科學展覽，他們承諾好要一起合作完成一個實驗專案。然而，前幾天小明的偶像宣布將在同一天舉行簽名會，這是他一直夢想參加的活動。小明面臨著選擇：是遵守與同學的承諾，完成專案，還是去參加偶像的簽名會？如果你是小明，你會怎麼做？,承諾、友誼、個人興趣、責任。
25,小華在班上擔任文藝晚會的策劃人，並且向全班承諾會準備一個精彩的表演。然而，恰好在同一個周末，他的偶像樂團宣布要在附近舉辦一場演唱會，這是小華一直夢寐以求的機會。面對這樣的情況，小華必須決定是否要放棄晚會的準備，去看演唱會，還是堅持他的承諾，完成班上的表演。你會怎麼做？,承諾、責任、熱情、抉擇。
26,小明和他的朋友約好在周六一起去參加期待已久的學校科技展。然而，昨天小明的父母告訴他，家裡需要他幫忙清理儲藏室，因為他們計劃在下星期舉辦家庭聚會。小明面臨著兩難：他可以選擇遵守對朋友的承諾，參加科技展，但這意味著他會讓父母失望；或者他可以選擇留在家裡幫忙清理，這樣會讓朋友失望，影響他們的友誼。如果你是小明，你會怎麼做？,承諾、友誼、家庭責任。
27,小文答應了他的朋友小華，會一起參加周末的音樂會。然而，兩天前，小文的數學老師突然宣布有一場重要的小測，時間正好與音樂會重疊。小文非常想去音樂會，因為這是他喜歡的樂團，而他也不想失信於小華。這時，小文面臨著選擇：是遵守對小華的承諾，還是優先考慮學業和準備小測。如果你是小文，你會怎麼做？,承諾、學業、友情、責任、時間管理。
28,小明參加了一個為期一週的校外實習，並向他的團隊承諾每天都會參加。可是，實習的第二天，他的偶像在社交媒體上宣布將在他所在的城市舉辦一場特別的簽名會，而這場活動正好與實習時間重疊。小明非常想去見他的偶像，但他也不想食言，因為他的缺席可能會影響團隊的工作進度。如果你是小明，你會怎麼做？,承諾、責任、個人興趣、時間管理。
29,小華答應了班上的同學，會在星期五的下午幫忙籌備學校的畢業典禮活動，並且特別承諾會負責製作節目單。然而，這個星期的數學考試特別困難，小華在考試前的幾天得知自己的成績不如預期，感到非常焦慮，想要利用那個時間加倍複習。小華面臨著是否要信守對同學的承諾，還是優先考慮提升自己的學業成績。你會怎麼做？,承諾、學業、時間管理、責任感。
30,小文原本答應了朋友小華，會在星期六的下午一起去參加他們心儀的偶像簽名會。然而，這周的學校突然安排了一個重要的考試準備會，並要求學生在同一時間進行模擬考試。小文非常想去簽名會，但又不想違背對小華的承諾，因為小華已經期待這個活動很久了。如果你是小文，你會選擇怎麼做？,承諾、友誼、學業、時間管理。
31,小明參加了學校的志願者活動並承諾每天去清潔社區環境，但同時他的偶像在同一週末舉辦了一場簽名會，小明十分想去見偶像，但這將讓他無法履行對志願者活動的承諾。這時他面臨著兩難的選擇：是遵守對社區的承諾，還是追隨自己的偶像，實現心中的願望？如果你是小明，你會怎麼做？,承諾、責任、追夢、抉擇。
32,小華在學校參加了一個重要的科學展覽，並承諾會與他的隊友一起完成一個創意實驗。然而，展覽的前一天，他接到了心目中偶像的簽名會的邀請，這是他非常期待的機會。如果他去參加簽名會，就會錯過最後的準備時間，可能會影響隊友的努力和整體的表現。如果他選擇留在學校準備實驗，則可能會錯過這次難得的偶像見面機會。你會怎麼做？,承諾、友情、個人興趣、責任感。
33,小明和他的班級共同承諾了會一起參加學校的探訪老人院活動。然而，就在活動前一天，小明卻收到了一個偶像的演唱會門票，這是他一直夢寐以求的機會。小明面臨著兩難：他可以選擇履行對班級的承諾，參加活動為長者提供關懷；但同時他又想去看他心目中的偶像演出，這可能是一生只有一次的經歷。如果你是小明，你會怎麼做？,承諾、友情、機會成本。
34,小明在學校的社團活動中承諾會負責籌辦一場重要的校內比賽，但他最近發現自己的學業成績開始下滑，特別是在數學這一科。這場比賽需要大量的時間和精力來準備，而小明也知道，如果不專心學習，他的成績可能會影響到他升學。這時，他的好朋友告訴他，這場比賽能讓他獲得更多的經驗和人脈，但如果他選擇放棄籌辦比賽，可能會讓其他社團成員失望。小明應該履行對社團的承諾，還是專注於學業以避免未來的困難？,承諾、學業、責任、選擇。
35,在校園裡，學生小明已經承諾在周末參加一個重要的志工服務，並且他會和同學們一起清潔社區。然而，到了週末前夕，小明的偶像突然宣布要在同一天舉行一場簽名會，這是他一直期待的機會。小明面臨著選擇：是遵守對活動的承諾，與同學們一起服務社區，還是放棄承諾去見他的偶像？如果你是小明，你會怎麼做？,承諾、責任、偶像崇拜、選擇困境。
36,小文和他的同學們約好一起參加校園的志工服務，這是他們承諾過的事情。然而，在服務活動的前一天，小文接到了一個消息，他的偶像將在市中心舉辦一場簽名會，這是他一直期待的機會。如果他參加簽名會，就會違背對同學的承諾；但如果他不去簽名會，他可能會錯過與偶像見面的難得機會。你會怎麼做？,承諾、責任、個人夢想、友情。
37,小明和他的同學們之前承諾過會在周末一起參加學校的志工服務。然而，周五的時候，小明接到了一個他非常崇拜的偶像舉辦的簽名會，這是他一直夢寐以求的機會。現在他面臨著選擇：是遵守對同學的承諾，參加志工服務，還是去見他的偶像，實現自己的願望？如果你是小明，你會怎麼做？,承諾、友情、自我實現、責任感。
38,小華和他的朋友承諾好一起參加學校的志工服務，因為不僅可以協助社區，還能獲得學校的志工服務時數。然而，在活動前一天，小華接到了他最喜歡的偶像會來學校舉辦簽名會的消息，這是他一直夢寐以求的機會。如果他選擇去簽名會，將會違背對朋友和活動的承諾；但如果他參加志工服務，他又會錯過這個難得的機會。如果你是小華，你會怎麼做？,承諾、友情、機會成本、責任。
39,小文承諾了要和同學們一起參加週末的校園音樂會，因為他們特別期待這次活動。然而，到了星期五，小文的父母告訴他，家裡有重要的親戚聚會，要求他必須參加。小文感到非常矛盾，因為他不想失信於同學，但同時也不想讓父母失望。如果你是小文，你會怎麼做？,承諾、家庭責任、友情、抉擇。
40,你和同學約好一起參加學校的義工活動，並承諾會在活動中負責清潔環境。然而，就在活動的前一天，你的偶像突然宣布將在同一天舉行見面會，你非常想去，但這意味著你將無法履行對同學的承諾。面對這樣的選擇，你會怎麼做？,承諾、責任、偶像崇拜。
41,小明答應了他的好朋友參加周末的籃球比賽，但同時他也有一個重要的數學考試需要準備。如果他參加比賽，可能會影響他的考試成績；如果他放棄比賽，則會失去和好朋友共度時光的機會，並因為違背了承諾而失望。你會選擇怎麼做？,承諾、友情、學業、責任。
42,你和你的同學約好要一起參加學校的志工服務，並承諾會一起清理校園環境。然而，當天你卻收到了一個消息，你最喜歡的偶像將會在同一天舉行一場粉絲見面會，這是你一直期待的機會。你面臨著要遵守對同學的承諾，還是追尋自己的熱情。你會怎麼做？,承諾、友情、熱情、自我實現。
43,你和好友約好週末一起去參加一場你們都期待已久的音樂會，但就在前一天，班上老師臨時安排了一個重要的小測，並要求大家在週末準備。你知道這次小測對你的學業成績影響很大，而你的好友已經為這場音樂會準備了很久，甚至買了票。你會放棄音樂會去準備小測，還是堅持陪伴好友，共同享受這次活動？,承諾、學業、友情。
44,你和朋友約定好一起參加校內志工服務，這不僅能增進友誼，還能獲得學校的服務時數。然而，前一天你突然得知偶像的粉絲見面會正好在當日舉行，而這是你非常期待的機會。如果你是這位學生，你會選擇遵守對朋友的承諾，參加志工服務，還是為了自己的興趣而忽視這個約定，去參加見面會？,承諾、自我興趣、友情。
45,你和你的同學約好一起為學校的環保活動進行清潔工作，這樣不僅能獲得社區服務的時數，還能提升班級的團隊合作精神。可是，前一天你得知你最喜歡的偶像將在同一天舉行粉絲見面會，這是你一直期待的機會。如果你參加清潔活動，可能會失去見偶像的機會；但如果你去見偶像，則會違背對同學的承諾。你會怎麼做？,承諾、責任、選擇。
46,在班級的期末報告中，你和幾位同學約好一起合作，承諾每個人負責不同部分，並在截止日前完成。然而，臨近截止日時，你的偶像發佈了一個期待已久的演唱會直播，你非常想觀看，但這會讓你無法完成報告的部分。你會選擇怎麼做？,承諾、責任、時間管理。
47,你的班級即將舉辦一個重要的慈善活動，而你已經承諾會負責活動的宣傳工作。然而，就在活動前夕，你最喜歡的偶像宣布將在附近舉行一場簽名會，這是你期待已久的機會。如果你去參加簽名會，可能會影響活動的準備和宣傳效果；但如果你選擇放棄簽名會，可能會感到失落。你會怎麼做？,承諾、責任、個人興趣。
48,你和朋友約定了周末一起參加學校的義工活動，這是你們之前承諾過的事情。然而，當你回到家後，發現自己最喜歡的偶像在當日有一場特別的粉絲見面會，你一直想去參加。你會選擇遵守對朋友的承諾，參加義工活動，還是去看偶像的見面會？,承諾、友情、個人興趣。
